"Faction","Games","Wins"
"Adepta Sororitas",33,15
"Adeptus Custodes",33,17
"Adeptus Mechanicus",6,3
"Astra Militarum",46,27
"Blood Angels",32,10
"Chaos Daemons",51,33
"Chaos Knights",13,9
"Chaos Space Marines",68,34
"Craftworlds",35,13
"Dark Angels",25,9
"Death Guard",33,17
"Deathwatch",2,1
"Drukhari",19,12
"Forces of the Hive Mind",4,2
"Genestealer Cults",27,14
"Grey Knights",30,13
"Harlequins",19,13
"Imperial Knights",23,7
"Leagues of Votann",47,26
"Necrons",47,24
"Orks",39,22
"Space Marines",48,16
"Space Wolves",15,5
"T'au",49,26
"Thousand Sons",23,12
"Tyranids",52,19
"Ynnari",17,12
